Domain, Total, Solved, Time
LCL, 2, 2, 0.024
SYJ1, 12, 12, 0.144
SYJ201, 20, 20, 2.754
SYJ202, 20, 10, 14.322
SYJ203, 20, 20, 0.243
SYJ204, 20, 20, 0.244
SYJ205, 20, 20, 0.248
SYJ206, 20, 20, 0.239
SYJ207, 20, 20, 0.612
SYJ208, 20, 20, 2.306
SYJ209, 20, 20, 0.240
SYJ210, 20, 20, 0.240
SYJ211, 20, 20, 0.241
SYJ212, 20, 20, 0.241
SYN, 20, 20, 0.239
