Domain, Total, Solved, Time
LCL, 2, 2, 0.024
SYJ1, 12, 12, 0.144
SYJ201, 20, 20, 2.754
SYJ202, 20, 10, 14.352
SYJ203, 20, 20, 0.244
SYJ204, 20, 20, 0.242
SYJ205, 20, 20, 0.242
SYJ206, 20, 20, 0.243
SYJ207, 20, 20, 1.054
SYJ208, 20, 17, 165.925
SYJ209, 20, 20, 0.264
SYJ210, 20, 20, 0.313
SYJ211, 20, 20, 97.985
SYJ212, 20, 20, 0.302
SYN, 20, 20, 0.252
