Domain, Total, Solved, Time
LCL, 2, 2, 0.024
SYJ1, 12, 12, 0.145
SYJ201, 20, 20, 2.765
SYJ202, 20, 10, 14.282
SYJ203, 20, 20, 0.242
SYJ204, 20, 20, 0.241
SYJ205, 20, 20, 0.242
SYJ206, 20, 20, 0.240
SYJ207, 20, 20, 0.613
SYJ208, 20, 20, 2.296
SYJ209, 20, 20, 0.243
SYJ210, 20, 20, 0.241
SYJ211, 20, 20, 0.241
SYJ212, 20, 20, 0.242
SYN, 20, 20, 0.240
