LCL181+1.p,0.01127,CounterSatisfiable
LCL230+1.p,0.01167,CounterSatisfiable
SYJ101+1.p,0.01146,Theorem
SYJ102+1.p,0.01148,Theorem
SYJ103+1.p,0.01154,Theorem
SYJ104+1.p,0.01146,Theorem
SYJ105+1.002.p,0.01155,Theorem
SYJ105+1.003.p,0.01149,Theorem
SYJ105+1.004.p,0.01146,Theorem
SYJ106+1.p,0.01158,Theorem
SYJ107+1.001.p,0.01153,Theorem
SYJ107+1.002.p,0.01155,Theorem
SYJ107+1.003.p,0.01140,Theorem
SYJ107+1.004.p,0.01158,Theorem
SYJ201+1.001.p,0.01162,Theorem
SYJ201+1.002.p,0.01156,Theorem
SYJ201+1.003.p,0.01154,Theorem
SYJ201+1.004.p,0.01162,Theorem
SYJ201+1.005.p,0.02159,Theorem
SYJ201+1.006.p,0.03175,Theorem
SYJ201+1.007.p,0.06181,Theorem
SYJ201+1.008.p,0.11161,Theorem
SYJ201+1.009.p,0.25160,Theorem
SYJ201+1.010.p,0.62160,Theorem
SYJ201+1.011.p,1.58170,Theorem
SYJ201+1.012.p,4.33170,Theorem
SYJ201+1.013.p,12.12177,Theorem
SYJ201+1.014.p,34.40179,Theorem
SYJ201+1.015.p,-,Timeout
SYJ201+1.016.p,-,Timeout
SYJ201+1.017.p,-,Timeout
SYJ201+1.018.p,-,Timeout
SYJ201+1.019.p,-,Timeout
SYJ201+1.020.p,-,Timeout
SYJ202+1.001.p,0.01152,Theorem
SYJ202+1.002.p,0.01165,Theorem
SYJ202+1.003.p,0.02157,Theorem
SYJ202+1.004.p,15.37213,Theorem
SYJ202+1.005.p,-,Timeout
SYJ202+1.006.p,-,Timeout
SYJ202+1.007.p,-,Timeout
SYJ202+1.008.p,-,Timeout
SYJ202+1.009.p,-,Timeout
SYJ202+1.010.p,-,Timeout
SYJ202+1.011.p,-,Timeout
SYJ202+1.012.p,-,Timeout
SYJ202+1.013.p,-,Timeout
SYJ202+1.014.p,-,Timeout
SYJ202+1.015.p,-,Timeout
SYJ202+1.016.p,-,Timeout
SYJ202+1.017.p,-,Timeout
SYJ202+1.018.p,-,Timeout
SYJ202+1.019.p,-,Timeout
SYJ202+1.020.p,-,Timeout
SYJ203+1.001.p,0.01132,Theorem
SYJ203+1.002.p,0.01155,Theorem
SYJ203+1.003.p,0.01140,Theorem
SYJ203+1.004.p,0.01171,Theorem
SYJ203+1.005.p,0.01141,Theorem
SYJ203+1.006.p,0.01135,Theorem
SYJ203+1.007.p,0.01138,Theorem
SYJ203+1.008.p,0.01158,Theorem
SYJ203+1.009.p,0.01183,Theorem
SYJ203+1.010.p,0.01169,Theorem
SYJ203+1.011.p,0.01152,Theorem
SYJ203+1.012.p,0.02153,Theorem
SYJ203+1.013.p,0.02153,Theorem
SYJ203+1.014.p,0.04167,Theorem
SYJ203+1.015.p,0.08158,Theorem
SYJ203+1.016.p,0.15154,Theorem
SYJ203+1.017.p,0.30153,Theorem
SYJ203+1.018.p,0.61174,Theorem
SYJ203+1.019.p,1.25177,Theorem
SYJ203+1.020.p,2.55190,Theorem
SYJ204+1.001.p,0.01150,Theorem
SYJ204+1.002.p,0.01171,Theorem
SYJ204+1.003.p,0.01164,Theorem
SYJ204+1.004.p,0.01145,Theorem
SYJ204+1.005.p,0.01139,Theorem
SYJ204+1.006.p,0.01144,Theorem
SYJ204+1.007.p,0.01161,Theorem
SYJ204+1.008.p,0.01147,Theorem
SYJ204+1.009.p,0.01169,Theorem
SYJ204+1.010.p,0.01149,Theorem
SYJ204+1.011.p,0.02165,Theorem
SYJ204+1.012.p,0.03165,Theorem
SYJ204+1.013.p,0.05165,Theorem
SYJ204+1.014.p,0.10151,Theorem
SYJ204+1.015.p,0.21149,Theorem
SYJ204+1.016.p,0.43159,Theorem
SYJ204+1.017.p,0.88166,Theorem
SYJ204+1.018.p,1.82183,Theorem
SYJ204+1.019.p,3.76177,Theorem
SYJ204+1.020.p,7.76168,Theorem
SYJ205+1.001.p,0.01149,Theorem
SYJ205+1.002.p,0.01161,Theorem
SYJ205+1.003.p,0.01157,Theorem
SYJ205+1.004.p,0.01151,Theorem
SYJ205+1.005.p,0.02155,Theorem
SYJ205+1.006.p,0.05150,Theorem
SYJ205+1.007.p,0.15157,Theorem
SYJ205+1.008.p,0.46155,Theorem
SYJ205+1.009.p,1.48171,Theorem
SYJ205+1.010.p,4.72162,Theorem
SYJ205+1.011.p,15.20164,Theorem
SYJ205+1.012.p,48.77151,Theorem
SYJ205+1.013.p,-,Timeout
SYJ205+1.014.p,-,Timeout
SYJ205+1.015.p,-,Timeout
SYJ205+1.016.p,-,Timeout
SYJ205+1.017.p,-,Timeout
SYJ205+1.018.p,-,Timeout
SYJ205+1.019.p,-,Timeout
SYJ205+1.020.p,-,Timeout
SYJ206+1.001.p,0.01136,Theorem
SYJ206+1.002.p,0.01129,Theorem
SYJ206+1.003.p,0.01146,Theorem
SYJ206+1.004.p,0.01135,Theorem
SYJ206+1.005.p,0.01136,Theorem
SYJ206+1.006.p,0.01144,Theorem
SYJ206+1.007.p,0.04164,Theorem
SYJ206+1.008.p,0.17152,Theorem
SYJ206+1.009.p,0.84155,Theorem
SYJ206+1.010.p,4.38176,Theorem
SYJ206+1.011.p,23.52166,Theorem
SYJ206+1.012.p,-,Timeout
SYJ206+1.013.p,-,Timeout
SYJ206+1.014.p,-,Timeout
SYJ206+1.015.p,-,Timeout
SYJ206+1.016.p,-,Timeout
SYJ206+1.017.p,-,Timeout
SYJ206+1.018.p,-,Timeout
SYJ206+1.019.p,-,Timeout
SYJ206+1.020.p,-,Timeout
SYJ207+1.001.p,0.01155,CounterSatisfiable
SYJ207+1.002.p,0.01134,CounterSatisfiable
SYJ207+1.003.p,0.01149,CounterSatisfiable
SYJ207+1.004.p,0.01139,CounterSatisfiable
SYJ207+1.005.p,0.01144,CounterSatisfiable
SYJ207+1.006.p,0.01150,CounterSatisfiable
SYJ207+1.007.p,0.01169,CounterSatisfiable
SYJ207+1.008.p,0.01155,CounterSatisfiable
SYJ207+1.009.p,0.01166,CounterSatisfiable
SYJ207+1.010.p,0.01150,CounterSatisfiable
SYJ207+1.011.p,0.01180,CounterSatisfiable
SYJ207+1.012.p,0.01153,CounterSatisfiable
SYJ207+1.013.p,0.01153,CounterSatisfiable
SYJ207+1.014.p,0.01159,CounterSatisfiable
SYJ207+1.015.p,0.01158,CounterSatisfiable
SYJ207+1.016.p,0.01153,CounterSatisfiable
