Domain, Total, Solved, Time
LCL, 2, 2, 0.023
SYJ1, 12, 12, 0.138
SYJ201, 20, 14, 53.583
SYJ202, 20, 4, 15.417
SYJ203, 20, 20, 5.162
SYJ204, 20, 20, 15.192
SYJ205, 20, 12, 70.909
SYJ206, 20, 11, 29.026
SYJ207, 20, 20, 0.231
SYJ208, 20, 20, 0.771
SYJ209, 20, 9, 56.864
SYJ210, 20, 20, 16.641
SYJ211, 20, 12, 45.389
SYJ212, 20, 12, 48.558
SYN, 20, 19, 0.217
