Domain, Total, Solved, Time
LCL, 2, 2, 0.023
SYJ1, 12, 8, 0.092
SYJ201, 20, 1, 0.022
SYJ202, 20, 1, 0.012
SYJ203, 20, 3, 1.724
SYJ204, 20, 3, 0.326
SYJ205, 20, 0, 0.000
SYJ206, 20, 4, 3.946
SYJ207, 20, 20, 0.496
SYJ208, 20, 10, 1.446
SYJ209, 20, 4, 23.207
SYJ210, 20, 4, 4.636
SYJ211, 20, 1, 3.132
SYJ212, 20, 5, 19.868
SYN, 20, 19, 0.218
